symbol,stage1_history_days,stage1_ret_5d,stage1_ret_20d,stage1_ret_63d,stage1_ret_126d,stage1_pullback_20d,stage1_median_volume_20d,discovery_order,value_seed,adaptive_deep_score,adaptive_momentum_score,adaptive_pullback_score,adaptive_volume_rank,deep_selection_tier,deep_selection_reason,deep_selected,challenger_dynamic_score,challenger_tier,challenger_rank,live_selected
AI,357,0.02664126801841,0.1123711519609265,-0.0217588193044783,0.2261363327256911,0.0340197056262686,4826750.0,422,False,57.21587423899522,65.32627814209641,0.0,81.09054527263632,not_selected,,False,57.21587423899522,adaptive500,860,False
CFFN,357,0.00795451060307,0.0172017905890939,0.1027914260167823,0.295405230009395,0.0044893336181869,776700.0,646,False,57.20802972480868,76.76289872346862,0.0,33.766883441720864,not_selected,,False,57.20802972480868,adaptive500,861,False
MO,357,0.0404129024746222,0.1088953597054622,0.019183079540098,0.083841665286714,0.0,8531700.0,1338,False,57.18369101033234,62.962730017956034,0.0,90.64532266133068,not_selected,,False,57.18369101033234,adaptive500,862,False
RYAN,357,-0.0408612236992856,-0.059500948274426,0.1126320649282281,0.0919376442154176,0.1159224035173677,1514700.0,971,False,57.17042874675672,63.712814755884736,45.03732140154023,48.42421210605303,not_selected,,False,57.17042874675672,adaptive500,863,False
AUTL,357,-0.1042653650894843,-0.1710526274512018,0.2599999904632568,0.2516556275705983,0.2559055062677805,1616750.0,531,False,57.1611836385575,72.62079111610358,0.0,50.57528764382191,not_selected,,False,57.1611836385575,adaptive500,864,False
ERAS,357,-0.0018427939422703,-0.1110503616188881,0.1261261023100199,0.2028127109324957,0.1662390871814916,3536750.0,938,False,57.14901944951531,67.08228297986179,0.0,73.38669334667334,not_selected,,False,57.14901944951531,adaptive500,865,False
FSLY,357,0.130758468863221,-0.1632231931484676,0.3099730585709259,0.0662570540093487,0.0861226364191828,4753300.0,769,False,57.11190591680823,65.27961555592285,0.0,80.59029514757378,not_selected,,False,57.11190591680823,adaptive500,866,False
AGNC,357,-0.0674157534134038,-0.0802856694742045,-0.0157666689064556,0.0318184844964679,0.0910765283632346,16636650.0,1053,False,57.096392771311685,47.23464597753955,68.16317242547848,95.99799899949974,adaptive,adaptive_pullback,True,57.096392771311685,adaptive500,867,True
RXRX,357,-0.0581395477781814,0.0418006812945286,-0.01519755407174,-0.0442478143733484,0.1074380420410101,14125800.0,392,False,57.04510570863931,50.14551988470039,55.32905636229663,94.74737368684342,not_selected,,False,57.04510570863931,adaptive500,868,False
GET.PA,362,0.0043219839393209,-0.0032171296069501,0.0010770305919416,0.0795094416652055,0.041752550611841,556445.0,1791,False,57.04179817204622,56.99811615679178,61.37195268217108,28.16408204102051,not_selected,,False,57.04179817204622,adaptive500,869,False
